user_id,product_id,refunded,purchase_date,country_code,media_source
2524374,tenwords_1w_9.99_offer,FALSE,2020-09-20,US,Facebook Ads
2347139,tenwords_1w_7.99_7free,FALSE,2020-08-27,US,Facebook Ads
2578902,tenwords_1w_9.99_offer,FALSE,2020-09-26,US,Google Ads
2340248,tenwords_1w_7.99_7free,FALSE,2020-08-26,UK,Google Ads
2078592,tenwords_1w_7.99_7free,FALSE,2020-09-21,EE,Facebook Ads
2217161,tenwords_1w_9.99_offer,FALSE,2020-08-08,US,Facebook Ads
2124559,tenwords_1w_9.99_offer,FALSE,2020-08-14,MX,Facebook Ads
2124559,tenwords_1w_9.99_offer,FALSE,2020-07-24,MX,Facebook Ads
2238152,tenwords_1w_9.99_offer,FALSE,2020-09-22,US,Facebook Ads
2238152,tenwords_1w_9.99_offer,FALSE,2020-08-18,US,Facebook Ads
2238152,tenwords_1w_9.99_offer,FALSE,2020-08-11,US,Facebook Ads
2160723,tenwords_1w_9.99_offer,FALSE,2020-09-02,US,Facebook Ads
2160723,tenwords_1w_9.99_offer,FALSE,2020-08-12,US,Facebook Ads
2160723,tenwords_1w_9.99_offer,FALSE,2020-08-05,US,Facebook Ads
2160723,tenwords_1w_9.99_offer,FALSE,2020-07-29,US,Facebook Ads
2328176,tenwords_1w_7.99_7free,FALSE,2020-08-25,US,Facebook Ads
2124559,tenwords_1w_9.99_offer,FALSE,2020-08-21,MX,Facebook Ads
2328176,tenwords_1w_7.99_7free,FALSE,2020-09-01,US,Facebook Ads
2099239,tenwords_1w_7.99_7free,TRUE,2020-08-12,MX,Facebook Ads
2300651,tenwords_1w_7.99_7free,FALSE,2020-08-22,PH,Facebook Ads
1362773,tenwords_1w_9.99_offer,FALSE,2020-09-08,Organic/Unknown,Organic/Unknown
1362773,tenwords_1w_9.99_offer,FALSE,2020-09-01,Organic/Unknown,Organic/Unknown
1362773,tenwords_1w_9.99_offer,FALSE,2020-08-25,Organic/Unknown,Organic/Unknown
1362773,tenwords_1w_9.99_offer,FALSE,2020-08-18,Organic/Unknown,Organic/Unknown
1362773,tenwords_1w_9.99_offer,FALSE,2020-08-11,Organic/Unknown,Organic/Unknown
2409980,tenwords_1w_9.99_offer,FALSE,2020-09-06,US,Facebook Ads
2216614,tenwords_1w_9.99_offer,FALSE,2020-08-29,US,Facebook Ads
2216614,tenwords_1w_9.99_offer,FALSE,2020-08-22,US,Facebook Ads
2216614,tenwords_1w_9.99_offer,FALSE,2020-08-15,US,Facebook Ads
2216614,tenwords_1w_9.99_offer,FALSE,2020-08-08,US,Facebook Ads
2216614,tenwords_1w_9.99_offer,FALSE,2020-09-05,US,Facebook Ads
2324999,tenwords_1w_9.99_offer,FALSE,2020-08-31,UA,Facebook Ads
2324999,tenwords_1w_9.99_offer,FALSE,2020-08-24,UA,Facebook Ads
2324999,tenwords_1w_9.99_offer,FALSE,2020-09-07,UA,Facebook Ads
2014764,tenwords_1w_9.99_offer,FALSE,2020-07-10,PA,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-09-03,RU,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-08-27,RU,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-08-20,RU,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-08-13,RU,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-08-06,RU,Facebook Ads
1134275,tenwords_1w_9.99_offer,FALSE,2020-09-04,Organic/Unknown,Organic/Unknown
2014764,tenwords_1w_9.99_offer,FALSE,2020-09-03,PA,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-07-30,RU,Facebook Ads
2042738,tenwords_1w_9.99_offer,FALSE,2020-07-23,RU,Facebook Ads
2342604,tenwords_1w_9.99_offer,FALSE,2020-09-17,JP,Facebook Ads
1881388,tenwords_1w_9.99_offer,FALSE,2020-09-15,Organic/Unknown,Organic/Unknown
2294676,tenwords_1w_9.99_offer,FALSE,2020-08-28,AE,Facebook Ads
2294676,tenwords_1w_9.99_offer,FALSE,2020-08-21,AE,Facebook Ads
2042526,tenwords_1w_9.99_offer,FALSE,2020-09-03,US,Facebook Ads
2109724,tenwords_1w_9.99_offer,TRUE,2020-07-23,AU,Facebook Ads
2096185,tenwords_1w_7.99_7free,FALSE,2020-09-01,MX,Facebook Ads
2096185,tenwords_1w_7.99_7free,FALSE,2020-08-25,MX,Facebook Ads
2096185,tenwords_1w_7.99_7free,FALSE,2020-08-18,MX,Facebook Ads
2042526,tenwords_1w_9.99_offer,FALSE,2020-07-30,US,Facebook Ads
2042526,tenwords_1w_9.99_offer,FALSE,2020-07-23,US,Facebook Ads
2109724,tenwords_1w_9.99_offer,FALSE,2020-07-30,AU,Facebook Ads
2240689,tenwords_1w_7.99_7free,FALSE,2020-08-11,TT,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-09-13,PL,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-09-06,PL,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-08-30,PL,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-08-23,PL,Facebook Ads
2258618,tenwords_1w_7.99_7free,FALSE,2020-08-29,US,Facebook Ads
2258618,tenwords_1w_7.99_7free,FALSE,2020-08-22,US,Facebook Ads
2258618,tenwords_1w_7.99_7free,FALSE,2020-08-15,US,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-08-16,PL,Facebook Ads
2096185,tenwords_1w_7.99_7free,FALSE,2020-07-28,MX,Facebook Ads
2096185,tenwords_1w_7.99_7free,FALSE,2020-07-21,MX,Facebook Ads
